,HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
29,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R04x,FossilGas,Grid,11.58977,0.781718,0.781718,85.817477,411.103057,411.103057,3.187136,355.757166,16.019143,34.182015,40.289787,7.385523,0.0,0.0,0.770376,0.0,0.0
30,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R05x,Coal,Grid,0.034826,0.002348,0.002348,0.350427,947.863509,947.863509,110.684698,171.05817,10.062245,9.05602,100.622453,8.049796,7.788177,45.249917,30.186735,0.0,16.451771
31,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R06x,Fossil Oil,Grid,1.271379,0.085753,0.085753,10.239183,620.368095,620.368095,1153.612702,937.16176,6.571629,8.629209,78.260006,18.815559,0.270963,1.57432,54.683265,0.0,0.572384
32,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,125%,R17,Waste,Grid,76.261291,5.143747,5.143747,649.404964,361.909831,900.942592,70.678861,664.210984,4.768694,2.895278,33.210549,10.21863,146.67141,0.0,2.469502,22.217005,0.0
33,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R01-1,BioGas,Grid,6.380815,0.430379,0.430379,47.634422,0.0,627.828094,143.332929,1507.981867,74.652567,3239.921438,2314.229598,11.94441,0.0,0.0,19.633625,0.0,0.0
34,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R01-2,Straw,Grid,28.489477,1.921586,1.921586,269.59184,0.0,946.285677,463.679982,1182.857097,7.381028,4.447542,634.011404,10.409142,8.535496,3.690514,21.76457,0.0,0.0
35,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R01-3,Wood,Grid,320.092587,21.589923,21.589923,3178.791478,0.0,1112.2552,20.801321,524.940963,86.7316,32.463479,925.634297,8.624313,8.957626,3.873031,127.555747,0.0,0.0
36,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R04x,FossilGas,Grid,11.58977,0.781718,0.781718,96.799874,463.713598,463.713598,3.59493,399.767156,18.003965,38.005642,46.235658,8.331107,0.0,0.0,0.868277,0.0,0.0
37,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R05x,Coal,Grid,0.034826,0.002348,0.002348,0.502182,1358.340571,1358.340571,158.617264,245.135771,14.419751,12.977776,144.197512,11.535801,11.160887,64.845621,43.259253,0.0,23.576293
38,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R06x,Fossil Oil,Grid,1.271379,0.085753,0.085753,13.751543,827.555867,827.555867,1269.835509,1253.645774,8.790014,11.24903,115.422436,21.47183,0.302991,1.760406,69.914984,0.0,0.640041
39,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,200%,R17,Waste,Grid,76.261291,5.143747,5.143747,932.816014,519.853258,1294.128817,101.524283,954.083627,6.849831,4.158826,47.704181,14.678209,210.681235,0.0,3.547233,31.912874,0.0
40,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,All,R11x,Hydro,Grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,All,R16,Solar,Grid,0.052067,0.003511,0.003511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,All,R16,Solar,OwnConsumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,All,R18,WindOffshore,Grid,762.361323,51.420505,51.420505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,All,R19,WindOnshore,Grid,276.068237,18.620525,18.620525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R01-1,BioGas,Grid,6.380815,0.430379,0.430379,61.371545,0.0,808.885227,184.668208,1942.863447,96.181358,4174.27097,2981.622121,15.389017,0.0,0.0,25.295697,0.0,0.0
46,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R01-2,Straw,Grid,28.489477,1.921586,1.921586,356.464766,0.0,1251.215549,613.095619,1564.019436,9.759481,5.880713,838.314418,13.763371,11.285964,4.87974,28.777957,0.0,0.0
47,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R01-3,Wood,Grid,320.092587,21.589923,21.589923,4660.067752,0.0,1630.551933,30.926311,720.790738,135.210002,47.965939,1364.086302,12.794988,13.131766,5.677814,193.306596,0.0,0.0
48,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,Preliminary,Total,R04x,FossilGas,Grid,11.58977,0.781718,0.781718,115.103869,551.397834,551.397834,4.274588,473.117138,21.312002,44.378354,56.145443,9.907081,0.0,0.0,1.031445,0.0,0.0
