,HourUTC,HourDK,PriceArea,ConnectedArea,ReportGrpCode,Version,ReportGrp,SharePPM,ShareMWh,CO2Emission
79,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R17,Preliminary,Waste,4957,24.846119,10526.232254
80,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R18,Preliminary,Offshore,34631,173.58521,
81,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,GE,R19,Preliminary,Onshore,124471,623.887275,
82,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,SE,R06x,Preliminary,Fossil oil a.o.,1727,8.659891,7049.788587
83,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,SE,R11x,Preliminary,Hydro,12424,62.27381,
84,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,SE,R14,Preliminary,Nuclear,11192,56.100615,
85,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,SE,R19,Preliminary,Onshore,10713,53.701001,
86,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R01-1,Preliminary,BioGas,3496,8.395835,0.0
87,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R01-2,Preliminary,Straw,14199,34.094675,0.0
88,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R01-3,Preliminary,Wood,139829,335.741305,0.0
89,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R04x,Preliminary,FossilGas,1733,4.163046,1743.249619
90,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R05x,Preliminary,Coal,10,0.025637,29.799269
91,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R06x,Preliminary,Fossil Oil,1867,4.483752,4512.043427
92,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R16,Preliminary,Solar,25,0.061115,0.0
93,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R17,Preliminary,Waste,32007,76.85176,28442.262135
94,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R18,Preliminary,WindOffshore,361038,866.882423,0.0
95,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,DK2,R19,Preliminary,WindOnshore,138209,331.851949,0.0
96,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,SE,R06x,Preliminary,Fossil oil a.o.,14737,35.386495,28807.21074
97,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,SE,R11x,Preliminary,Hydro,105979,254.466464,
98,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,SE,R14,Preliminary,Nuclear,95474,229.241233,
99,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,SE,R19,Preliminary,Onshore,91390,219.435807,
100,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R01-1,Preliminary,BioGas,10029,50.136411,0.0
101,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R01-2,Preliminary,Straw,8735,43.667166,0.0
102,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R01-3,Preliminary,Wood,14480,72.390371,0.0
103,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R04x,Preliminary,FossilGas,4835,24.174251,9348.341013
104,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R05x,Preliminary,Coal,44441,222.166238,158323.738924
105,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R06x,Preliminary,Fossil Oil,838,4.193933,2768.000565
106,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R11x,Preliminary,Hydro,642,3.210898,0.0
107,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R16,Preliminary,Solar,20,0.10303,0.0
108,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R17,Preliminary,Waste,13706,68.517342,21152.550239
109,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R18,Preliminary,WindOffshore,182882,914.239767,0.0
110,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK1,R19,Preliminary,WindOnshore,338114,1690.253653,0.0
111,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R01-1,Preliminary,BioGas,390,1.953288,0.0
112,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R01-2,Preliminary,Straw,1715,8.573862,0.0
113,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R01-3,Preliminary,Wood,16647,83.222953,0.0
114,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R04x,Preliminary,FossilGas,203,1.014832,424.958263
115,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R05x,Preliminary,Coal,1,0.006171,7.153354
116,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R06x,Preliminary,Fossil Oil,219,1.099647,1097.12382
117,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R16,Preliminary,Solar,3,0.015842,0.0
118,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R17,Preliminary,Waste,3713,18.561976,6871.655873
119,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R18,Preliminary,WindOffshore,43682,218.371005,0.0
120,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,DK2,R19,Preliminary,WindOnshore,17568,87.825747,0.0
121,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R01,Preliminary,Biomass,26516,132.55608,0.0
122,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R02,Preliminary,Brown coal,26198,130.969139,122643.626561
123,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R04x,Preliminary,Fossil gas,13489,67.433822,37287.339336
124,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R05x,Preliminary,Coal,11093,55.455726,51930.488408
125,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R06x,Preliminary,Fossil oil a.o.,1130,5.652096,4459.497531
126,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R11x,Preliminary,Hydro,18288,91.426228,
127,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R14,Preliminary,Nuclear,14273,71.35405,
128,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R15x,Preliminary,Other renewable,747,3.739073,
129,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R17,Preliminary,Waste,4265,21.325777,9034.814762
130,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R18,Preliminary,Offshore,35351,176.722117,
131,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,GE,R19,Preliminary,Onshore,112654,563.165879,
132,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,SE,R06x,Preliminary,Fossil oil a.o.,1545,7.724087,6287.975456
133,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,SE,R11x,Preliminary,Hydro,11456,57.269583,
134,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,SE,R14,Preliminary,Nuclear,10088,50.432721,
135,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,SE,R19,Preliminary,Onshore,10027,50.128281,
136,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R01-1,Preliminary,BioGas,3332,8.166293,0.0
137,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R01-2,Preliminary,Straw,14626,35.845553,0.0
138,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R01-3,Preliminary,Wood,141970,347.938031,0.0
139,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R04x,Preliminary,FossilGas,1731,4.242804,1776.662991
140,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R05x,Preliminary,Coal,10,0.025799,29.906702
141,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,DK2,R06x,Preliminary,Fossil Oil,1875,4.597397,4586.848775
